grid_size=256,prop_tree_init=0.01,p_grow=0.01,p_lightning=1e-05,steps_per_frame=100,cell_size=4,fps=60,max_runs=1000,fire_steps_per_frame=3,no_graphics=True,limit_by_fires=True,track_density=True,density_log_interval=1000,seed=23,total_frames=2409092,total_fires=1000
# size,duration_steps
2,2
1,1
2,2
1,1
7,4
4,3
3,3
1,1
6,6
3,3
11,4
1,1
1,1
38,14
80,19
375,75
177,27
149,51
1080,106
26,12
421,80
4448,295
9974,344
98,26
336,36
11549,213
3309,166
1,1
1,1
3,3
2466,114
382,60
2,2
4,4
1348,113
20,7
47,15
28,11
15,6
1841,195
73,18
166,30
341,62
1,1
9,3
1529,198
213,48
15,7
1,1
30856,502
34,9
147,40
63,18
2,2
1,1
1,1
1,1
2,2
16,7
3,3
1,1
18,5
1,1
23,8
1651,83
1820,117
104,16
44,14
185,50
1908,145
8,4
14557,359
263,48
4568,300
3,3
11,6
3,3
13827,458
2,2
2,2
2,2
29,10
1965,102
117,24
2,2
1,1
95,28
1927,127
20,13
46,18
16472,391
64,22
14,5
87,28
3149,236
6722,221
3072,170
2,2
57,21
1,1
4,3
51,18
10,4
1,1
12,7
1,1
33,18
11,8
3,3
3792,165
574,115
2847,238
2823,111
10381,243
13,5
1622,132
2,2
4585,248
864,82
1,1
1413,114
1,1
1774,126
1,1
28,12
1107,79
10,4
3,2
30,12
9,5
28,11
4657,173
1,1
117,28
9,6
8,4
639,43
16,10
2481,145
4,4
3253,189
55,18
2675,196
10211,336
14,7
2126,102
6825,197
16,5
1,1
9,6
7254,244
1936,105
421,59
2330,134
632,90
1019,89
16,11
24,11
3289,172
1,1
1,1
5,4
15,11
139,26
12,6
5,3
17,11
26082,310
12,8
22,10
1,1
27,9
1489,145
49,12
3,2
3,2
8,6
5,3
11804,366
3,3
153,46
9,5
1,1
2,2
8,6
150,43
1,1
8,3
49,17
22,11
444,70
135,44
6455,290
11920,334
2179,188
210,44
1900,85
12,10
1249,92
20,9
3,3
1,1
1415,83
348,46
483,58
14,6
16,10
518,72
18,9
6948,299
8,4
1,1
1209,77
3928,291
1310,109
457,61
2,2
1426,99
37,14
16500,469
17,11
3,3
4,3
17,7
6,5
1,1
2,2
3,3
3,3
7043,196
36,15
1,1
3,3
1759,109
340,45
2,2
1,1
29740,490
1279,103
144,23
48,21
1,1
41,11
3,2
26,10
8,6
1417,130
493,76
25,7
11862,239
135,34
128,28
240,37
1,1
508,58
6501,332
737,88
1,1
607,61
3,3
15,6
2,2
58,18
4,3
988,76
1239,121
5,3
7836,276
12,6
33,9
17,9
35,14
32,12
20,11
1,1
1707,88
3232,139
3,3
51,15
1,1
551,92
1,1
629,113
176,30
4,4
5,3
6435,274
10,6
15,9
1,1
5,3
81,22
3,2
200,29
144,22
19658,447
3851,129
24,10
1,1
1,1
45,14
2,2
7,6
4138,287
3767,178
6,5
244,41
11358,312
6,4
231,38
293,57
4,4
30,11
7,5
1,1
5,3
113,24
13,9
1,1
10944,352
3,3
729,62
115,35
3687,178
3500,172
25,7
14,10
40,16
53,18
1014,76
134,28
7,4
63,23
1,1
8688,299
5,4
3063,136
4677,224
431,74
5867,347
1,1
12,9
1,1
129,21
778,76
1727,173
64,16
97,23
4,4
226,39
2458,208
187,56
13192,358
24,13
1326,128
486,101
1,1
2626,154
2,2
3205,297
2,2
3877,160
2,2
5,4
7,5
2,2
4755,201
4117,269
892,140
104,26
3315,112
23,14
59,21
5,3
2,2
7,5
20261,477
10,7
2874,118
206,38
266,36
117,28
5,3
2,2
2,2
1,1
4,3
21,14
137,24
11,9
21,13
3329,151
16,8
1,1
28,11
18,10
10758,450
3,3
1093,132
74,40
214,33
10022,259
716,86
3,3
5,4
1,1
7915,341
2,2
3886,155
292,64
9,6
