grid_size=256,prop_tree_init=0.01,p_grow=0.01,p_lightning=1e-05,steps_per_frame=1000,cell_size=4,fps=100,limit_by_fires=True,max_runs=100,fire_steps_per_frame=3,no_graphics=True,seed=1138,track_density=True,density_log_interval=1,total_frames=27538,total_fires=100
# size,duration_steps
2,2
1,1
9,5
4,4
1,1
27,13
3,3
129,38
97,30
53,16
458,72
2800,263
4096,298
145,43
9632,460
3,3
90,28
13927,400
6,5
1,1
18,7
277,40
15,9
5643,184
278,60
156,20
2,2
8,5
1,1
52,23
990,69
4,3
2,2
96,31
1,1
17,6
116,20
4059,181
1,1
9260,292
13555,616
26,12
1,1
1,1
1,1
716,117
5,3
129,46
13,8
3,3
14,10
9,5
3,3
3,3
2697,125
1,1
3,3
1885,98
567,84
2,2
4,4
3434,151
83,22
4354,185
627,109
70,14
41,17
78,24
3687,177
23,10
10214,510
57,19
4,3
6629,240
15,10
5,3
63,15
9,7
1082,123
9,7
5,3
175,34
8,5
11,5
2180,118
8704,206
15,5
674,63
22,6
1579,139
4,4
3361,120
2,2
23,7
2,2
850,88
12,8
6666,198
2209,105
9937,296
