grid_size=256,prop_tree_init=0.01,p_grow=0.01,p_lightning=1e-05,steps_per_frame=1000,cell_size=4,fps=100,limit_by_fires=True,max_runs=50000,fire_steps_per_frame=3,no_graphics=True,seed=1,track_density=True,density_log_interval=1000,total_frames=13476994,total_fires=50000
# size,duration_steps
1,1
1,1
7,7
3,2
33,14
3,3
47,21
106,27
51,10
368,88
155,33
1,1
229,40
13,8
4,3
41,11
558,110
68,18
1936,177
1,1
9842,355
3834,248
2,2
6,5
2,2
4137,237
1,1
2,2
1169,136
9,5
16768,484
19,8
4,4
1,1
107,31
61,17
10,5
445,73
3,2
560,81
3,2
1,1
3,3
9693,294
1715,117
42,12
1,1
4409,179
22,12
1,1
216,63
360,44
189,34
4663,153
1614,200
5,3
1,1
1372,123
10893,316
18,11
5,5
11,7
7,7
48,8
898,85
3,3
3745,154
8,5
127,22
1,1
12223,236
11,5
1,1
4,4
1,1
729,71
2174,136
10807,343
66,19
7,6
5,4
24,12
1040,76
9,8
7241,407
1,1
4,4
31,11
1,1
389,81
11,5
3,3
12,7
150,43
7,4
11,4
5,5
5912,396
87,18
2,2
6,4
2199,151
1332,131
16686,592
658,53
5092,182
1,1
1490,126
3867,211
9,7
4,3
2,2
1,1
2,2
1,1
11,6
679,71
181,21
19,10
191,35
5,4
7,5
9,6
214,44
1604,224
8399,230
6,4
55,21
17299,501
24,16
1,1
133,16
438,68
2579,137
7,5
1,1
8,5
14,6
160,26
1,1
1,1
5047,169
23,9
1901,206
8,5
10419,404
13,10
24,11
17,10
9006,318
3271,114
34,12
1,1
1,1
26,8
7,3
4,3
3,3
183,39
5,3
1614,96
13,9
1054,83
5434,239
150,44
1,1
27,14
496,68
1,1
786,77
10777,507
38,13
12098,409
1,1
15,9
1420,111
3,3
1,1
128,23
1,1
2096,91
2,2
4,3
1,1
5,3
2,2
6,3
4,4
2048,82
269,33
1,1
11,4
15,8
287,54
2,2
28,14
6,6
5209,118
26,14
9529,294
18,9
9,5
10,6
4,3
1,1
1,1
18,9
12214,307
1,1
1,1
7653,200
2,2
8,4
36,11
39,14
1149,144
816,81
1016,110
6,3
193,36
106,33
679,91
653,70
14007,395
16,11
32,11
3,3
10,4
179,43
8056,248
7279,254
2,2
13,6
1,1
23,11
3595,170
117,30
1,1
2,2
466,54
3,2
87,19
1097,86
175,39
1885,153
50,18
2,2
27,10
174,34
5669,282
9379,464
10,6
214,40
1,1
74,28
360,49
261,61
1105,131
140,28
19,12
637,75
3907,148
5,4
18,10
7882,329
1,1
53,15
19,9
1,1
367,58
146,30
1,1
107,15
5,4
8,6
1,1
105,26
1225,121
4374,128
875,135
1671,73
1,1
16629,497
1,1
1,1
21,10
1,1
311,51
64,22
1254,133
3,3
494,54
3342,205
1,1
56,20
26,12
2938,129
4,4
163,23
2,2
45,16
17,6
23,11
58,35
20,8
2629,177
81,26
562,66
1,1
8615,389
260,62
9421,469
2856,201
101,14
17,10
21,10
16,8
4,4
1,1
2,2
1361,129
2,2
92,16
198,31
4209,156
4,3
1,1
3097,220
198,55
18,7
5,5
84,25
12847,337
88,27
294,57
1,1
2980,173
5,4
14,9
14783,400
4,3
1,1
